date,open,high,low,close,volume,bodysize,shadowsize,sma_20,rsi_20,Min_20,Max_20,volume_20,percentChange_20,RelativeSize_sma_20,Diff_20,sma_50,rsi_50,Min_50,Max_50,volume_50,percentChange_50,RelativeSize_sma_50,Diff_50,sma_100,rsi_100,Min_100,Max_100,volume_100,percentChange_100,RelativeSize_sma_100,Diff_100,WeekDay,Day
2019-08-07,11458.1,12173.8,11387.0,11962.7,9518.03243373,504.60000000000036,786.7999999999993,10385.054999999997,60.60387838257106,9120.0,12340.0,6331.013747983002,0.12467329785833825,1.1519149393046069,1326.1000000000004,10820.519999999993,59.06141124864337,9040.0,13875.7,9116.976691564998,0.317405429216453,1.1055568493935604,2882.2000000000007,9216.872,59.583397797437385,5132.0,13875.7,7448.0223505894,1.323305496212857,1.2979132182805622,6813.700000000001,2,7
2019-08-08,11973.3,12065.0,11472.6,11982.6,5503.28967046,9.300000000001091,592.3999999999996,10457.424999999997,60.714448390830434,9120.0,12340.0,6235.260163375502,0.13738704533373824,1.1458461332498204,1447.3999999999996,10874.629999999994,59.10723000360087,9099.0,13875.7,9138.878024839998,0.29163208330189394,1.1018857653087974,2705.5,9283.967999999999,59.6062379335663,5270.0,13875.7,7474.964068685301,1.2724445287312727,1.2906765727757787,6709.6,3,8
2019-08-09,11992.9,12042.0,11660.0,11857.6,4972.62735052,-135.29999999999927,382.0,10511.559999999998,59.60827362305971,9120.0,12340.0,6136.901163640001,0.1004835311696628,1.1280533051231219,1082.7000000000007,10921.095999999992,58.686234437881275,9099.0,13875.7,9108.825291828596,0.24367808858542328,1.085751832966216,2323.300000000001,9349.303,59.39327798887339,5311.3,13875.7,7500.255873836201,1.2271557634154129,1.268287058404247,6533.5,4,9
2019-08-10,11859.6,11975.0,11230.2,11284.7,5075.90454317,-574.8999999999996,744.7999999999993,10546.029999999999,54.792174320330844,9120.0,12340.0,6117.610779921002,0.06506658612781147,1.070042470958266,689.4000000000015,10942.405999999992,56.794391412848306,9099.0,13875.7,9028.349244617197,0.10426452168467204,1.0312814201922327,1065.5,9408.244999999999,58.426887648346906,5368.7,13875.7,7529.9122264814005,1.093442166774882,1.1994479310434627,5894.200000000001,5,10
2019-08-11,11280.0,11581.0,11101.9,11526.7,3242.58542379,246.70000000000073,479.10000000000036,10606.17,56.3599609557199,9120.0,12340.0,5950.109380373502,0.1165063590309865,1.08679193337463,1202.800000000001,10959.66399999999,57.38650694977423,9099.0,13875.7,8836.351235839997,0.08091862187963028,1.0517384474560545,862.9000000000015,9466.911999999998,58.71351953126708,5525.0,13875.7,7508.998613411301,1.0365194346289752,1.2175776008058385,5866.700000000001,6,11
2019-08-12,11539.7,11550.2,11235.0,11384.2,2521.40994313,-155.5,315.2000000000007,10683.35,55.17396441622968,9120.0,12340.0,5678.371245338002,0.15686035404345278,1.0656020817440224,1543.6000000000004,10971.06599999999,56.91781448802219,9099.0,13875.7,8767.910056360995,0.052718210484460126,1.0376566871441673,570.1000000000004,9523.118999999999,58.47372623837936,5563.4,13875.7,7486.865611677701,0.9752233885659756,1.1954276744835386,5620.700000000001,0,12
2019-08-13,11386.0,11442.6,10751.0,10857.0,5530.49168914,-529.0,691.6000000000004,10737.710000000001,50.994923574943265,9120.0,12340.0,5540.872122210002,0.11128170484554456,1.0111094451237739,1087.2000000000007,10967.793999999989,55.215371267756666,9099.0,13875.7,8769.371635626396,-0.014844926773496914,0.9898982420712872,-163.60000000000036,9574.495999999997,57.59469014874127,5563.4,13875.7,7525.789600795701,0.8983092336474743,1.133950027239032,5137.7,1,13
2019-08-14,10855.1,10862.0,9900.0,10018.0,9345.62962355,-837.1000000000004,962.0,10744.710000000001,45.25305459342612,9120.0,12340.0,5727.935552104503,0.014172909495849373,0.9323657874433092,140.0,10932.85199999999,52.65768840102229,9099.0,13875.7,8723.806599225796,-0.14849852529940255,0.9163208282706113,-1747.1000000000004,9617.801999999998,56.235721090387614,5660.0,13875.7,7594.1941118813,0.7614375637373845,1.041610130880216,4330.6,2,14
2019-08-15,10018.0,10450.0,9490.0,10304.5,11725.54421272,286.5,960.0,10767.335000000001,47.38263710439036,9120.0,12340.0,6098.197790859003,0.04592976045472996,0.9570148973724695,452.5,10880.267999999991,53.40969021036251,9099.0,13360.9,8445.560911576596,-0.2032828966189103,0.947081450567211,-2629.2000000000007,9663.394999999997,56.58902959164107,5660.0,13875.7,7669.5456262193,0.793584209427,1.0663436607941623,4559.3,3,15
2019-08-16,10300.9,10535.0,9728.0,10362.1,8443.90114207,61.20000000000073,807.0,10811.850000000002,47.81225009300448,9120.0,12340.0,6202.9209064575025,0.0939948056335651,0.9584021235958692,890.3000000000011,10864.54999999999,53.56101980939972,9099.0,13197.8,8113.725541206597,-0.07049695012558299,0.9537532617549747,-785.8999999999996,9707.594999999998,56.660083021679576,5933.2,13875.7,7729.2399176891995,0.7438447686844718,1.06742195157503,4420.0,4,16
2019-08-17,10362.2,10475.0,9999.9,10211.8,3766.05859122,-150.40000000000146,475.10000000000036,10845.855,46.763508944797714,9375.0,12340.0,6198.114437560003,0.07135138537721475,0.9415394175931726,680.0999999999985,10821.585999999992,53.10177134482884,9099.0,13197.8,7912.735988756597,-0.17380258899676382,0.9436509583715369,-2148.2000000000007,9748.198999999999,56.41669762464495,6110.1,13875.7,7721.6411645981,0.6600773807588516,1.0475576052561095,4060.3999999999996,5,17
2019-08-18,10211.8,10502.4,10065.0,10326.4,2908.43736041,114.60000000000036,437.39999999999964,10887.18,47.6845127656435,9381.3,12340.0,6138.288217011503,0.08700091579911362,0.9484917122707625,826.5,10790.811999999993,53.41256151140055,9099.0,13197.8,7751.092678289197,-0.12968285138768332,0.9569622749427945,-1538.7000000000007,9788.071999999998,56.56040977013605,6338.0,13875.7,7694.6558321162,0.6290009622817119,1.054998369443952,3987.2999999999993,6,18
2019-08-19,10325.0,10950.0,10267.5,10921.8,5196.35981986,596.7999999999993,682.5,10953.564999999999,52.20642505120763,9490.0,12340.0,6198.271100559503,0.13838713375928946,0.9971000309031809,1327.699999999999,10794.201999999992,54.993743496002196,9099.0,13197.8,7635.826167172598,0.01576406908289396,1.0118209757423482,169.5,9825.279999999999,57.299329146309894,6636.0,13875.7,7645.2768603317,0.5167060130537424,1.1116019085461177,3720.7999999999993,0,19
